id,nct_id,id_source,id_value,id_type,id_type_description,id_link
230733066,NCT01340794,secondary_id,N01CM00099,NIH,,https://reporter.nih.gov/quickSearch/N01CM00099
230733067,NCT01340794,secondary_id,N01CM62205,NIH,,https://reporter.nih.gov/quickSearch/N01CM62205
230733068,NCT01340794,secondary_id,P30CA015083,NIH,,https://reporter.nih.gov/quickSearch/P30CA015083
230733145,NCT01886105,secondary_id,NA_00075773,OTHER,JHM IRB,
230733210,NCT01340794,org_study_id,NCI-2011-02588,,,
230733230,NCT00511329,org_study_id,GA628132,,,
230733258,NCT05005000,org_study_id,21-00996,,,
230733440,NCT03147040,org_study_id,M17GEL,,,
230733458,NCT06105008,org_study_id,RC48-C033,,,
230733518,NCT00210366,org_study_id,IELSG21,,,
230733528,NCT01886105,org_study_id,J1322,,,
230733566,NCT04784455,org_study_id,AK901,,,
230733578,NCT05495724,org_study_id,TRUCE-04,,,
230733718,NCT00003452,secondary_id,BC-BL-02,OTHER,Burzynski Research Institute,
230733857,NCT00313482,org_study_id,I-05-011,,,
230733930,NCT00003452,org_study_id,CDR0000066483,,,
230758072,NCT01829464,secondary_id,U1111-1124-2270,REGISTRY,UTN (WHO),
230758290,NCT01829464,org_study_id,TAK-875_303,,,
230758529,NCT03432195,org_study_id,P16012,,,
230281479,NCT01419795,secondary_id,NCI-2011-01703,REGISTRY,CTRP (Clinical Trial Reporting Program),
230281480,NCT01419795,secondary_id,P30CA015704,NIH,,https://reporter.nih.gov/quickSearch/P30CA015704
230281640,NCT01419795,org_study_id,2467.00,,,
230282810,NCT03532542,secondary_id,2017-004625-32,EUDRACT_NUMBER,,
230282934,NCT00313014,org_study_id,BUP3015,,,
230283067,NCT03532542,org_study_id,4045-302,,,
230433156,NCT00406419,secondary_id,WA20494,,,
230433552,NCT00406419,org_study_id,ACT3985g,,,
230434788,NCT06536465,org_study_id,REC-3964-201,,,
